title,location,department,job_id,url,scraped_at
"Research Scientist Intern, FAIR - Multi-Agent Multimodal Foundations (PhD)","Menlo Park, CA +2 locations",AI Research +1 more,1821713085101005,https://www.metacareers.com/profile/job_details/1821713085101005,2025-12-10 12:10:33
"Research Scientist Intern, Language and Agents (PhD)","Bellevue, WA +3 locations",AI Research +3 more,679961588479426,https://www.metacareers.com/profile/job_details/679961588479426,2025-12-10 12:10:33
"Research Scientist Intern, Computer Vision for Media Research (PhD)","Menlo Park, CA +1 locations",Artificial Intelligence +1 more,1652088078837457,https://www.metacareers.com/profile/job_details/1652088078837457,2025-12-10 12:10:33
"Software Engineering Manager, Infrastructure","Sunnyvale, CA +11 locations",Software Engineering,623005356728275,https://www.metacareers.com/profile/job_details/623005356728275,2025-12-10 12:10:33
Software Engineer,"New York, NY",Software Engineering,2688266884869173,https://www.metacareers.com/profile/job_details/2688266884869173,2025-12-10 12:10:33
Software Engineer (Technical Leadership) - Machine Learning Specialist,"Bellevue, WA +5 locations",Artificial Intelligence,1214960463705626,https://www.metacareers.com/profile/job_details/1214960463705626,2025-12-10 12:10:33
Product Manager,"Sunnyvale, CA +4 locations",AI Infrastructure +11 more,1420853345578936,https://www.metacareers.com/profile/job_details/1420853345578936,2025-12-10 12:10:33
"Software Engineer, Machine Learning","Sunnyvale, CA +7 locations",Software Engineering,1368969190886166,https://www.metacareers.com/profile/job_details/1368969190886166,2025-12-10 12:10:33
"Software Engineer, Machine Learning","Sunnyvale, CA +9 locations",Advertising Technology +14 more,1436181490732782,https://www.metacareers.com/profile/job_details/1436181490732782,2025-12-10 12:10:33
Machine Learning Software Engineering Manager,"Bellevue, WA +3 locations",Software Engineering,1698326244376455,https://www.metacareers.com/profile/job_details/1698326244376455,2025-12-10 12:10:33
"Software Engineer, Infrastructure","Sunnyvale, CA +9 locations",Software Engineering,1770681236847041,https://www.metacareers.com/profile/job_details/1770681236847041,2025-12-10 12:10:39
"Software Engineer, Machine Learning","Sunnyvale, CA +11 locations",Software Engineering,998357492128826,https://www.metacareers.com/profile/job_details/998357492128826,2025-12-10 12:10:39
"Software Engineer, Product","Bellevue, WA +8 locations",Software Engineering,1079158160340219,https://www.metacareers.com/profile/job_details/1079158160340219,2025-12-10 12:10:39
"Software Engineer, Infrastructure","Sunnyvale, CA +9 locations",Software Engineering,2486789151677735,https://www.metacareers.com/profile/job_details/2486789151677735,2025-12-10 12:10:39
"Software Engineer, Android","Bellevue, WA +5 locations",Software Engineering,2154143301727752,https://www.metacareers.com/profile/job_details/2154143301727752,2025-12-10 12:10:39
"Data Engineer, Product Analytics","Sunnyvale, CA +6 locations",Data & Analytics,1283364266159062,https://www.metacareers.com/profile/job_details/1283364266159062,2025-12-10 12:10:39
"Technical Program Manager, Color Material Finish (CMF)","Seattle, WA",AR/VR +2 more,1633226087354505,https://www.metacareers.com/profile/job_details/1633226087354505,2025-12-10 12:10:39
Software Engineer (Leadership) - Infrastructure,"Sunnyvale, CA +7 locations",AI Infrastructure +8 more,704019139159184,https://www.metacareers.com/profile/job_details/704019139159184,2025-12-10 12:10:39
"Software Engineer, Infrastructure","Sunnyvale, CA +12 locations",Software Engineering,677160418622314,https://www.metacareers.com/profile/job_details/677160418622314,2025-12-10 12:10:39
"Software Engineer, iOS","Redmond, WA +6 locations",Software Engineering,1448351256303607,https://www.metacareers.com/profile/job_details/1448351256303607,2025-12-10 12:10:39
Data Scientist (Technical Leadership),"Sunnyvale, CA +11 locations",Data & Analytics +5 more,613354727793690,https://www.metacareers.com/profile/job_details/613354727793690,2025-12-10 12:10:44
"Software Engineering Manager, Machine Learning","Sunnyvale, CA +6 locations",Software Engineering,9918139294935575,https://www.metacareers.com/profile/job_details/9918139294935575,2025-12-10 12:10:44
"Research Scientist Intern, AI Research - Speech & Audio (PhD)","Bellevue, WA +3 locations",AI Research +1 more,2044151816333350,https://www.metacareers.com/profile/job_details/2044151816333350,2025-12-10 12:10:44
"Research Scientist Intern, Smart Glasses in Wearables AI (PhD)","Sunnyvale, CA +4 locations",AR/VR +2 more,1166376528712896,https://www.metacareers.com/profile/job_details/1166376528712896,2025-12-10 12:10:44
"Software Engineering Manager, Product","Sunnyvale, CA +6 locations",Software Engineering,1901003240752810,https://www.metacareers.com/profile/job_details/1901003240752810,2025-12-10 12:10:44
"Data Scientist, Product Analytics","Bellevue, WA +3 locations",Data & Analytics +1 more,1474404313779164,https://www.metacareers.com/profile/job_details/1474404313779164,2025-12-10 12:10:44
"Software Engineer, Product","Sunnyvale, CA +12 locations",Software Engineering,727671609895617,https://www.metacareers.com/profile/job_details/727671609895617,2025-12-10 12:10:44
"Research Scientist, Machine Learning (PhD)","Sunnyvale, CA +7 locations",Software Engineering +1 more,1693450804688168,https://www.metacareers.com/profile/job_details/1693450804688168,2025-12-10 12:10:44
Software Engineer - Language (Technical Leadership),"Redmond, WA +4 locations",Artificial Intelligence +2 more,1337915113900850,https://www.metacareers.com/profile/job_details/1337915113900850,2025-12-10 12:10:44
"Data Engineering Manager, Analytics (Monetization)","Sunnyvale, CA +3 locations",Data & Analytics,3613938402245439,https://www.metacareers.com/profile/job_details/3613938402245439,2025-12-10 12:10:44
AI Specialist - Product and Applied Research,"Menlo Park, CA +2 locations",AI Research +2 more,1807518976538281,https://www.metacareers.com/profile/job_details/1807518976538281,2025-12-10 12:10:49
ASIC Design Engineer,"Sunnyvale, CA",Software Engineering,810153751463037,https://www.metacareers.com/profile/job_details/810153751463037,2025-12-10 12:10:49
"Data Scientist, Product Analytics","Sunnyvale, CA +10 locations",Data & Analytics,1070147800777577,https://www.metacareers.com/profile/job_details/1070147800777577,2025-12-10 12:10:49
Software Engineer (Technical Leadership) - Machine Learning,"Sunnyvale, CA +8 locations",AI Infrastructure +7 more,1075389717795087,https://www.metacareers.com/profile/job_details/1075389717795087,2025-12-10 12:10:49
Embedded SW Engineer,"Sunnyvale, CA",Software Engineering,1955592505299141,https://www.metacareers.com/profile/job_details/1955592505299141,2025-12-10 12:10:49
Software Engineering Manager - EMG Signal Validation,"Burlingame, CA +1 locations",AR/VR,1716921445930651,https://www.metacareers.com/profile/job_details/1716921445930651,2025-12-10 12:10:49
Embedded Software Engineer,"Sunnyvale, CA +5 locations",AR/VR,1130423548424029,https://www.metacareers.com/profile/job_details/1130423548424029,2025-12-10 12:10:49
"Data Scientist, Product Analytics","Sunnyvale, CA +8 locations",Data & Analytics,435020605866341,https://www.metacareers.com/profile/job_details/435020605866341,2025-12-10 12:10:49
"Product Marketing Manager, Devices Go-To-Market","Los Angeles, CA +3 locations",AR/VR,1290675399106063,https://www.metacareers.com/profile/job_details/1290675399106063,2025-12-10 12:10:49
